Project Name,Checkpoint Name,Created On,File Name,Method,Complexity,Statements,Maximum Depth,Calls
toxicity,toxicity,12 lug 2022,src\GildedRose.h,Item.Item(),1*,0,0,0
toxicity,toxicity,12 lug 2022,src\GildedRose.cc,GildedRose.GildedRose(),1*,0,0,0
toxicity,toxicity,12 lug 2022,src\GildedRose.cc,GildedRose.updateQuality(),22*,28,7,1
