Project Name,Checkpoint Name,Created On,File Name,Lines*,Statements,Percent Branch Statements,Percent Lines with Comments,Classes Defined,Methods Implemented per Class,Average Statements per Method,Line Number of Most Complex Method*,Name of Most Complex Method*,Maximum Complexity*,Line Number of Deepest Block,Maximum Block Depth,Average Block Depth,Average Complexity*,Functions,Statements at block level 0,Statements at block level 1,Statements at block level 2,Statements at block level 3,Statements at block level 4,Statements at block level 5,Statements at block level 6,Statements at block level 7,Statements at block level 8,Statements at block level 9
toxicity,toxicity,12 lug 2022,src\GildedRose.h,19,12,"0,0","0,0",2,"1,00","0,0",12,Item::Item(),1,9,1,"0,58","1,00",0,5,7,0,0,0,0,0,0,0,0
toxicity,toxicity,12 lug 2022,src\GildedRose.cc,74,31,"64,5","0,0",0,"2,00","14,0",6,GildedRose::updateQuality(),22,32,7,"3,77","11,50",0,3,1,4,5,6,6,3,3,0,0
